GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.java,game.com.java.model,TileMap,0,66,0,6,0,14,0,7,0,4
com.java,game.com.java.model,Actor.ACTOR_STATE,0,24,0,0,0,3,0,1,0,1
com.java,game.com.java.model,World,3,0,0,0,1,0,1,0,1,0
com.java,game.com.java.model,Actor,326,38,26,0,59,12,22,1,9,1
com.java,game.com.java.model,DIRECTION,6,63,0,0,2,9,2,2,2,2
com.java,game.com.java.model,Camera,0,22,0,0,0,8,0,4,0,4
com.java,game.com.java.model,TERRAIN,0,24,0,0,0,3,0,1,0,1
com.java,game.com.java.model,Tile,0,16,0,0,0,7,0,4,0,4
com.java,game.com.java.controller,PlayerController,69,26,18,6,24,10,12,4,2,2
com.java,game.com.java.screen,GameScreen,248,0,6,0,47,0,11,0,8,0
com.java,game.com.java.screen,AbstractScreen,6,0,0,0,3,0,1,0,1,0
com.java,game.com.java.util,TexturePackerTool,8,0,0,0,3,0,2,0,2,0
com.java,game.com.java.util,AnimationSet,73,0,0,0,14,0,3,0,3,0
com.java,game.com.java,Witsiemon,42,0,0,0,12,0,4,0,4,0
com.java,game.com.java,Main,26,0,0,0,8,0,2,0,2,0
com.java,game.com.java,Settings,13,0,0,0,4,0,2,0,2,0
